"","ï..Month","SOI","Year","Month","ENSODateD","ENSODate","Event"
"1759",202207,8.7,2022,7,2022-07-01,"2022-07","La Nina"
"1760",202208,9.1,2022,8,2022-08-01,"2022-08","La Nina"
"1761",202209,18.3,2022,9,2022-09-01,"2022-09","La Nina"
"1762",202210,17.7,2022,10,2022-10-01,"2022-10","La Nina"
"1763",202211,4.6,2022,11,2022-11-01,"2022-11","Neutral"
"1764",202212,20,2022,12,2022-12-01,"2022-12","La Nina"
"1765",202301,11.8,2023,1,2023-01-01,"2023-01","La Nina"
"1766",202302,10.5,2023,2,2023-02-01,"2023-02","La Nina"
"1767",202303,-2,2023,3,2023-03-01,"2023-03","Neutral"
"1768",202304,0.3,2023,4,2023-04-01,"2023-04","Neutral"
"1769",202305,-18.5,2023,5,2023-05-01,"2023-05","El Nino"
"1770",202306,0.2,2023,6,2023-06-01,"2023-06","Neutral"
"1771",202307,-4.3,2023,7,2023-07-01,"2023-07","Neutral"
"1772",202308,-12.7,2023,8,2023-08-01,"2023-08","El Nino"
"1773",202309,-13.6,2023,9,2023-09-01,"2023-09","El Nino"
