Island,Year,Month,Day,GEE ID System:Index,AEST middle date/time,First_Last image,Water Index,Index Cutoff,Area km2,Perimeter km,Lat,Long
Fife,2023,March,30,20230330T004701_20230330T005026_T54LYK,30/03/2023 10:48,Final,MNDWI,0.2,0.11106,2.525459,-13.65412,143.719064
Green,2015,December,11,20151211T002722_20151211T002908_T55KCB,11/12/2015 10:28,Initial,MNDWI,0.4,0.15895,2.660831,-16.759591,145.97378
Green,2023,May,28,20230528T002709_20230528T002710_T55KCB,28/05/2023 10:27,Final,MNDWI,0.1,0.156094,2.891364,-16.759591,145.97378
Heron,2015,August,27,20150827T001304_20160413T130448_T56KLV,27/08/2015 10:13,Initial,MNDWI,0.8,0.28084,3.054379,-23.442293,151.915225
Heron,2023,May,29,20230529T000229_20230529T000225_T56KLV,29/05/2023 10:02,Final,MNDWI,0.4,0.257709,2.908154,-23.442293,151.915225
Bacchi,2016,January,14,20160114T001222_20160114T001218_T56KMB,14/01/2016 10:12,Initial,SWI,0.229,0.012027,0.873718,-21.635329,152.38112
Bacchi,2023,May,24,20230524T000221_20230524T000224_T56KMB,24/05/2023 10:02,Final,SWI,0.209,0.016292,1.044893,-21.635329,152.38112
Beesley,2015,November,17,20151117T004742_20151117T004904_T54LYM,17/11/2015 10:48,Initial,SWI,0.259,0.028901,0.88385,-12.240826,143.201055
Beesley,2023,March,10,20230310T004701_20230310T004701_T54LYM,10/03/2023 10:47,Final,SWI,0.068,0.012026,0.530192,-12.240826,143.201055
Bell,2016,January,14,20160114T001222_20160114T001218_T56KLA,14/01/2016 10:12,Initial,SWI,0.256,0.041456,1.181878,-21.810213,151.249237
Bell,2023,May,27,20230527T001111_20230527T001113_T56KLA,27/05/2023 10:11,Final,SWI,0.307,0.05669,1.327993,-21.810213,151.249237
Bushy Redbill,2016,January,14,20160114T001222_20160114T001218_T55KHS,14/01/2016 10:12,Initial,SWI,0.52,0.117169,2.082746,-20.953345,150.072319
Bushy Redbill,2023,May,27,20230527T001111_20230527T001113_T55KHS,27/05/2023 10:11,Final,SWI,0.307,0.096426,1.979924,-20.953345,150.072319
Bylund,2016,February,20,20160220T000212_20160220T000213_T56KMA,20/02/2016 10:02,Initial,SWI,0.48,0.006467,0.408556,-21.789591,152.414867
Bylund,2023,May,24,20230524T000221_20230524T000224_T56KMB,24/05/2023 10:02,Final,SWI,0.21,0.001109,0.135304,-21.789591,152.414867
Eagle,2016,January,3,20160103T004052_20160103T004048_T55LCD,3/01/2016 10:40,Initial,SWI,0.05,0.05532,1.722176,-14.696854,145.377573
Eagle,2023,May,21,20230521T003709_20230521T003707_T55LCD,21/05/2023 10:37,Final,SWI,0.03,0.053299,1.665198,-14.696854,145.377573
Erskine,2015,August,27,20150827T001304_20160413T130448_T56KLV,27/08/2015 10:13,Initial,SWI,0.45,0.059484,1.269499,-23.502721,151.77189
Erskine,2023,May,29,20230529T000229_20230529T000225_T56KLV,29/05/2023 10:02,Final,SWI,0.17,0.038136,1.037027,-23.502721,151.77189
Fife,2016,June,4,20160604T004859_20160604T021039_T54LYK,4/06/2016 11:29,Initial,SWI,0.4,0.10932,1.863648,-13.65412,143.719064
Fife,2023,March,30,20230330T004701_20230330T005026_T54LYK,30/03/2023 10:48,Final,SWI,0.05,0.089795,1.726634,-13.65412,143.719064
Green,2015,December,11,20151211T002722_20151211T002908_T55KCB,11/12/2015 10:28,Initial,SWI,0.25,0.163996,2.234416,-16.759591,145.97378
Green,2023,May,28,20230528T002709_20230528T002710_T55KCB,28/05/2023 10:27,Final,SWI,0.1,0.153622,2.09671,-16.759591,145.97378
Heron,2015,August,27,20150827T001304_20160413T130448_T56KLV,27/08/2015 10:13,Initial,SWI,0.7,0.273903,2.922852,-23.442293,151.915225
Heron,2023,May,29,20230529T000229_20230529T000225_T56KLV,29/05/2023 10:02,Final,SWI,0.36,0.247865,2.691342,-23.442293,151.915225
Raine,2015,November,17,20151117T004742_20151117T004904_T54LZN,17/11/2015 10:47,Initial,NDWI,-0.021,0.263871,2.681373,-11.59025777,144.0351248
Raine,2023,March,10,20230310T004701_20230310T004701_T54LZN,10/03/2023 10:47,Final,NDWI,-0.075,0.247117,2.622589,-11.59025777,144.0351248
Raine,2015,November,17,20151117T004742_20151117T004904_T54LZN,17/11/2015 10:47,Initial,MNDWI,0.106,0.270884,3.625105,-11.59025777,144.0351248
Raine,2023,March,10,20230310T004701_20230310T004701_T54LZN,10/03/2023 10:47,Final,MNDWI,0.08,0.249357,3.409271,-11.59025777,144.0351248
Raine,2015,November,17,20151117T004742_20151117T004904_T54LZN,17/11/2015 10:47,Initial,SWI,0.067,0.240396,2.622011,-11.59025777,144.0351248
Raine,2023,March,10,20230310T004701_20230310T004701_T54LZN,10/03/2023 10:47,Final,SWI,0.198,0.238643,2.68195,-11.59025777,144.0351248
North West,2015,August,27,20150827T001304_20160413T130448_T56KLV,27/08/2015 10:13,Initial,NDWI,-0.047,1.2382,6.398996,-23.29552293,151.7076526
North West,2023,May,29,20230529T000229_20230529T000225_T56KLV,29/05/2023 10:02,Final,NDWI,0.1,1.289393,7.002355,-23.29552293,151.7076526
North West,2015,August,27,20150827T001304_20160413T130448_T56KLV,27/08/2015 10:13,Initial,MNDWI,0.311,1.200263,6.327273,-23.29552293,151.7076526
North West,2023,May,29,20230529T000229_20230529T000225_T56KLV,29/05/2023 10:02,Final,MNDWI,0.45,1.292135,7.059,-23.29552293,151.7076526
North West,2015,August,27,20150827T001304_20160413T130448_T56KLV,27/08/2015 10:13,Initial,SWI,0.269,1.159584,5.89842,-23.29552293,151.7076526
North West,2023,May,29,20230529T000229_20230529T000225_T56KLV,29/05/2023 10:02,Final,SWI,0.3,1.211782,6.339327,-23.29552293,151.7076526
